session,House,Ministry,theme,question_text,mp_names,date,question_link,Link.1,Unnamed: 9,mp_name_raw,mp_name_clean,mp_name,state,constituency,party,region
Budget Session,Rajya Sabha,MSDE,Employment,Skill Development For Persons With Disabilities (Pwds),Debashish Samantaray,2025-04-02,<>,https://sansad.in/getFile/annex/267/AU3640_LvahkQ.pdf?source=pqars,,Debashish Samantaray,Debashish Samantaray,Debashish Samantaray,Odisha,,Biju Janata Dal,East
Budget Session,Rajya Sabha,MoYAS,Sports,Support for athletes with disabilities,Harbhajan Singh,2025-03-13,<>,https://sansad.in/getFile/annex/267/AS162_oGd18X.pdf?source=pqars,,Harbhajan Singh,Harbhajan Singh,Harbhajan Singh,Punjab,,Aam Aadmi Party,North
Budget Session,Rajya Sabha,MoH&FW,Health,Per capita mental health care professionals,Kanimozhi Karunanidhi,2025-03-25,<>,https://sansad.in/getFile/annex/267/AU2822_O5n69d.pdf?source=pqars,,Kanimozhi Karunanidhi,Kanimozhi Karunanidhi,Kanimozhi Karunanidhi,Tamil Nadu,Thoothukkudi,Dravida Munnetra Kazhagam,South
Budget Session,Rajya Sabha,MoH&FW,Health,Causes of birth of retarded and disabled children in Punjab,Balbir Singh,2025-03-11,<>,https://sansad.in/getFile/annex/267/AU1397_CaSM1D.pdf?source=pqars,,Balbir Singh,Balbir Singh,Balbir Singh,Punjab,,Aam Aadmi Party,North
Budget Session,Rajya Sabha,MoS&T,Health,Sickle cell anemia, Ghanshyam Tiwari,2025-04-03,<>,,,Ghanshyam Tiwari,Ghanshyam Tiwari,Ghanshyam Tiwari,Rajasthan,,Bharatiya Janata Party,North
Monsoon Session,Lok Sabha,MoSD&E,Skill Development Employment,Training Courses for Specially Abled under CTS, Sasikanth Senthil,,,,,Sasikanth Senthil,Sasikanth Senthil,Sasikanth Senthil,Tamil Nadu,Tiruvallur,Indian National Congress,South
Monsoon Session,Lok Sabha,MoSJE,Budget,Funds Allocated for National Funds for Persons with Disabilities,"Shrikant Eknath Shinde,  Shambhavi",2025-07-22,<>,https://sansad.in/getFile/loksabhaquestions/annex/185/AU451_lCKj3F.pdf?source=pqals,,Shrikant Eknath Shinde,Shrikant Eknath Shinde,Shrikant Eknath Shinde,Maharashtra,Kalyan,Shiv Sena,West
Monsoon Session,Lok Sabha,MoSJE,Budget,Funds Allocated for National Funds for Persons with Disabilities,"Shrikant Eknath Shinde,  Shambhavi",2025-07-22,<>,https://sansad.in/getFile/loksabhaquestions/annex/185/AU451_lCKj3F.pdf?source=pqals,,Shambhavi,Shambhavi,Shambhavi,Bihar,Samastipur,Lok Janshakti Party (Ram Vilas),East
Monsoon Session,Lok Sabha,MoSJE,Politics,Reservation of Differently-abled People in Local Bodies, Kanimozhi Karunanidhi,2025-07-22,<>,https://sansad.in/getFile/loksabhaquestions/annex/185/AU386_XuGgQx.pdf?source=pqals,,Kanimozhi Karunanidhi,Kanimozhi Karunanidhi,Kanimozhi Karunanidhi,Tamil Nadu,Thoothukkudi,Dravida Munnetra Kazhagam,South
Monsoon Session,Lok Sabha,MoSJE,Accessibility,Regular Camps and Assistive Devices for Divyangjan,"Manickam Tagore B,  Suresh Kumar Shetkar",2025-07-22,<>,https://sansad.in/getFile/loksabhaquestions/annex/185/AU366_QFfHEH.pdf?source=pqals,,Manickam Tagore B,Manickam Tagore B,Manickam Tagore B,Tamil Nadu,Virudhunagar,Indian National Congress,South
Monsoon Session,Lok Sabha,MoSJE,Accessibility,Regular Camps and Assistive Devices for Divyangjan,"Manickam Tagore B,  Suresh Kumar Shetkar",2025-07-22,<>,https://sansad.in/getFile/loksabhaquestions/annex/185/AU366_QFfHEH.pdf?source=pqals,,Suresh Kumar Shetkar,Suresh Kumar Shetkar,Suresh Kumar Shetkar,Telangana,Zahirabad,Indian National Congress,South
Monsoon Session,Lok Sabha,MoSJE,Certification,Issuance of UDID Card, Raju Bista,2025-07-22,<>,https://sansad.in/getFile/loksabhaquestions/annex/185/AU346_60En2k.pdf?source=pqals,,Raju Bista,Raju Bista,Raju Bista,West Bengal,Darjeeling,Bharatiya Janata Party,East
